transaction_id,customer_id,policy_id,investment_id,transaction_type,amount,transaction_date,payment_method,status,reference_number
TXN-000001,CUS-0171,,INV-00196,Investment Purchase,5168.02,2021-03-17,EFT,Completed,REF-87259150
TXN-000002,CUS-0196,POL-00381,,Premium Payment,1667.46,2024-01-17,Wire,Completed,REF-62847572
TXN-000003,CUS-0011,,INV-00178,Investment Redemption,32530.88,2024-12-08,EFT,Pending,REF-63511633
TXN-000004,CUS-0161,,,Fee,374.75,2024-11-03,EFT,Completed,REF-38996335
TXN-000005,CUS-0007,,INV-00169,Investment Purchase,10781.62,2024-08-15,Wire,Pending,REF-44026103
TXN-000006,CUS-0175,POL-00341,,Claim Payout,6453.68,2023-12-14,Credit Card,Reversed,REF-47128982
TXN-000007,CUS-0013,POL-00021,,Claim Payout,23181.13,2022-12-13,Credit Card,Completed,REF-38102644
TXN-000008,CUS-0141,,INV-00165,Investment Purchase,74329.77,2023-11-28,Credit Card,Completed,REF-77086906
TXN-000009,CUS-0086,,,Fee,182.38,2026-01-13,Credit Card,Completed,REF-52484493
TXN-000010,CUS-0026,,,Fee,457.94,2021-01-05,Cheque,Completed,REF-93456546
TXN-000011,CUS-0048,POL-00086,,Claim Payout,10506.38,2025-06-11,Wire,Completed,REF-58514771
TXN-000012,CUS-0044,,INV-00166,Investment Redemption,1288.4,2022-02-16,Cheque,Completed,REF-85151359
TXN-000013,CUS-0102,,INV-00039,Investment Purchase,20663.34,2021-01-05,Wire,Completed,REF-45348929
TXN-000014,CUS-0088,POL-00163,,Premium Payment,1372.68,2024-06-13,Wire,Completed,REF-23908449
TXN-000015,CUS-0189,,,Fee,409.14,2023-04-18,EFT,Completed,REF-53464571
TXN-000016,CUS-0114,,INV-00021,Dividend,1267.22,2021-09-26,Cheque,Completed,REF-13537870
TXN-000017,CUS-0178,POL-00346,,Claim Payout,145243.15,2022-10-01,Wire,Pending,REF-96959001
TXN-000018,CUS-0038,,,Fee,16.08,2022-09-25,Wire,Reversed,REF-68914857
TXN-000019,CUS-0142,POL-00272,,Claim Payout,7995.11,2024-08-15,Wire,Completed,REF-94188755
TXN-000020,CUS-0100,,INV-00134,Investment Purchase,70967.85,2024-01-30,Cheque,Pending,REF-67890079
