investment_id,customer_id,advisor_id,fund_name,fund_type,investment_amount,current_value,inception_date,last_valuation_date,return_ytd_pct,return_1yr_pct,risk_rating,region
INV-00001,CUS-0172,ADV-0007,Manulife Balanced Yen,Mixed,13509581,14861513,2020-10-20,2026-04-11,3.36,10.01,3,Japan
INV-00002,CUS-0120,ADV-0017,Manulife Yen Money Market,Money Market,20119701,16535485,2023-04-05,2026-04-16,-14.11,-17.81,1,Japan
INV-00003,CUS-0016,ADV-0019,Manulife Asia ex-Japan Equity,Equity,28084541,30827313,2023-08-22,2026-04-16,3.73,9.77,5,Asia Pacific
INV-00004,CUS-0048,ADV-0007,Manulife Global Equity,Equity,23339649,20579985,2021-06-17,2026-04-10,-10.49,-11.82,4,Global
INV-00005,CUS-0155,ADV-0022,Manulife Japan Growth,Equity,14550262,14172807,2023-03-17,2026-04-04,-1.4,-2.59,5,Japan
INV-00006,CUS-0158,ADV-0008,Manulife Sustainable Asia,Equity,22420413,23850110,2020-03-18,2026-04-14,3.2,6.38,4,Asia Pacific
INV-00007,CUS-0099,ADV-0029,Manulife Yen Money Market,Money Market,24370219,26354890,2022-03-13,2026-04-25,4.78,8.14,1,Japan
INV-00008,CUS-0049,ADV-0014,Manulife Asia ex-Japan Equity,Equity,18385866,18839537,2020-09-13,2026-04-11,2.39,2.47,5,Asia Pacific
INV-00009,CUS-0005,ADV-0024,Manulife Global Bond,Fixed Income,1792344,1864588,2025-01-20,2026-04-09,3.3,4.03,2,Global
INV-00010,CUS-0022,ADV-0011,Manulife Global Bond,Fixed Income,23289585,27358110,2025-10-21,2026-04-05,13.28,17.47,2,Global
INV-00011,CUS-0075,ADV-0022,Manulife Balanced Yen,Mixed,17503038,16104450,2019-02-11,2026-04-28,-3.96,-7.99,3,Japan
INV-00012,CUS-0147,ADV-0010,Manulife Global Bond,Fixed Income,2303430,2548334,2021-12-19,2026-04-22,7.3,10.63,2,Global
INV-00013,CUS-0012,ADV-0022,Manulife US Tech Innovation,Equity,22469974,26461377,2019-08-22,2026-04-03,11.78,17.76,5,North America
