transaction_id,customer_id,policy_id,investment_id,transaction_type,amount,transaction_date,payment_method,status,reference_number
TXN-000001,CUS-0119,,,Loan Repayment,1443483,2024-02-04,Convenience Store (Konbini),Completed,REF-93540681
TXN-000002,CUS-0155,POL-00301,,Premium Payment,3560,2024-05-05,Bank Transfer,Failed,REF-29060118
TXN-000003,CUS-0162,,,Policy Loan,685694,2024-09-11,Credit Card,Completed,REF-18394495
TXN-000004,CUS-0017,POL-00151,,Premium Payment,833,2025-04-24,Furikomi,Completed,REF-89284721
TXN-000005,CUS-0159,,INV-00058,Investment Redemption,2615227,2024-01-20,Direct Debit,Completed,REF-46987328
TXN-000006,CUS-0138,,,Annuity Payout,317184,2024-10-25,Credit Card,Completed,REF-38503362
TXN-000007,CUS-0149,,,Policy Loan,1437613,2024-08-02,Credit Card,Completed,REF-94405920
TXN-000008,CUS-0105,,,Policy Loan,1169654,2024-10-23,Convenience Store (Konbini),Completed,REF-19837481
TXN-000009,CUS-0152,,INV-00172,Investment Purchase,2070641,2025-06-23,Direct Debit,Completed,REF-80849132
TXN-000010,CUS-0018,,INV-00154,Investment Purchase,2400747,2024-02-24,Convenience Store (Konbini),Completed,REF-15767547
TXN-000011,CUS-0109,,,Annuity Payout,77142,2024-04-09,Direct Debit,Completed,REF-14083222
TXN-000012,CUS-0102,,,Annuity Payout,181693,2024-09-13,Bank Transfer,Completed,REF-24961330
TXN-000013,CUS-0191,,INV-00193,Investment Purchase,2182851,2024-12-14,Furikomi,Completed,REF-90314362
TXN-000014,CUS-0056,POL-00345,,Premium Payment,20235,2025-12-21,Furikomi,Completed,REF-32279404
TXN-000015,CUS-0021,POL-00043,,Premium Payment,523,2026-02-01,Direct Debit,Completed,REF-83955994
TXN-000016,CUS-0120,,,Annuity Payout,116273,2026-03-12,Direct Debit,Completed,REF-91685675
TXN-000017,CUS-0152,,,Policy Loan,1141520,2024-10-29,Convenience Store (Konbini),Completed,REF-37970446
TXN-000018,CUS-0013,,INV-00198,Investment Redemption,4972613,2024-11-01,Credit Card,Completed,REF-84158428
TXN-000019,CUS-0138,POL-00054,,Premium Payment,4938,2025-07-29,Direct Debit,Completed,REF-98037626
