Vendor,Vendor_Country,Lead_Time_Weeks,Scorecard_Tier,Onboarding_Year,Sustainability_Index
BrightPath Lighting,Canada,4,Silver,2021,0.45
Canvas Outdoor,Canada,4,Gold,2005,0.79
GreenCore Wellness,USA,8,Silver,2017,0.71
HomeStyle Canada,USA,5,Bronze,2024,0.67
LumiTech Canada,China,12,Bronze,2014,0.45
MasterChef Canada,USA,7,Gold,2018,0.56
Ninja Canada,USA,6,Gold,2013,0.5
NordicFlex Canada,China,11,Gold,2005,0.88
OptiGlow Inc,USA,6,Bronze,2010,0.79
Outbound Gear,USA,5,Bronze,2009,0.88
TypeA Canada,China,5,Gold,2005,0.84
Yeti Canada,China,6,Gold,2022,0.95
