investment_id,customer_id,advisor_id,fund_name,fund_type,investment_amount,current_value,inception_date,last_valuation_date,return_ytd_pct,return_1yr_pct,risk_rating,region
INV-00001,CUS-0133,ADV-0014,Manulife Tech Innovation,Equity,465784.16,571679.3,2022-06-14,2026-04-23,-0.53,18.58,4,Asia Pacific
INV-00002,CUS-0142,ADV-0001,Manulife Tech Innovation,Equity,648197.24,761884.89,2025-04-26,2026-04-10,5.02,8.51,4,Europe
INV-00003,CUS-0008,ADV-0016,Manulife Target Date 2035,Balanced,1089626.61,1749676.0,2023-12-20,2026-04-10,1.7,26.29,3,Asia Pacific
INV-00004,CUS-0048,ADV-0008,Manulife Global Bond,Bond,1796328.93,2318202.68,2023-08-29,2026-04-16,0.62,21.22,4,Global
INV-00005,CUS-0198,ADV-0030,Manulife High Yield Bond,Bond,108238.99,148297.27,2023-09-12,2026-03-07,5.72,41.36,2,North America
INV-00006,CUS-0028,ADV-0030,Manulife Small Cap Canada,Equity,527679.37,902924.26,2021-08-01,2026-03-24,4.86,11.37,5,Europe
INV-00007,CUS-0101,ADV-0015,Manulife Emerging Markets,Equity,1591905.71,1332754.65,2022-10-02,2026-03-25,8.26,1.19,4,Global
INV-00008,CUS-0042,ADV-0022,Manulife Tech Innovation,Equity,25229.88,26596.98,2021-09-03,2026-04-24,7.99,21.0,1,Asia Pacific
INV-00009,CUS-0089,ADV-0022,Manulife Global REIT,Real Estate,1201985.77,2105074.0,2023-06-11,2026-03-02,3.81,6.83,3,Europe
INV-00010,CUS-0056,ADV-0003,Manulife Moderate Balanced,Balanced,1797651.88,3613033.16,2020-08-23,2026-04-16,7.79,8.21,4,Europe
INV-00011,CUS-0069,ADV-0028,Manulife High Yield Bond,Bond,402478.88,844346.02,2022-09-13,2026-04-01,10.36,-0.78,3,Global
INV-00012,CUS-0050,ADV-0014,Manulife High Yield Bond,Bond,399763.51,321686.37,2020-12-20,2026-03-07,10.72,-8.71,3,Asia Pacific
INV-00013,CUS-0043,ADV-0012,Manulife Canadian Bond,Bond,1445510.4,1376883.74,2025-05-07,2026-04-09,7.03,-0.86,2,Global
INV-00014,CUS-0110,ADV-0016,Manulife Canadian Bond,Bond,709066.43,744370.89,2023-03-07,2026-03-11,15.36,-6.28,4,Asia Pacific
INV-00015,CUS-0151,ADV-0004,Manulife T-Bill Fund,Money Market,1209744.78,3839346.83,2021-08-24,2026-03-12,-10.17,-4.87,4,Global
INV-00016,CUS-0048,ADV-0027,Manulife Moderate Balanced,Balanced,149917.46,188035.72,2021-05-17,2026-03-21,-0.76,-2.65,2,Asia Pacific
INV-00017,CUS-0177,ADV-0014,Manulife Canadian Equity,Equity,661094.43,469558.54,2024-01-08,2026-03-19,6.58,19.4,3,Europe
INV-00018,CUS-0027,ADV-0024,Manulife International Equity,Equity,1433949.92,1292784.51,2021-07-23,2026-03-05,17.2,-0.21,3,Global
INV-00019,CUS-0175,ADV-0009,Manulife T-Bill Fund,Money Market,1627721.98,2328831.57,2021-10-12,2026-03-27,5.92,3.29,2,Global
INV-00020,CUS-0044,ADV-0001,Manulife Target Date 2035,Balanced,1184386.34,1613164.73,2021-10-31,2026-04-11,3.64,9.48,4,North America
INV-00021,CUS-0119,ADV-0023,Manulife Balanced Growth,Balanced,1684077.51,730477.69,2020-09-25,2026-03-02,13.26,9.95,1,North America
INV-00022,CUS-0107,ADV-0027,Manulife Balanced Growth,Balanced,637793.38,817155.69,2021-07-16,2026-03-21,1.65,11.03,3,North America
INV-00023,CUS-0101,ADV-0022,Manulife Balanced Growth,Balanced,1968013.84,1520565.19,2023-11-27,2026-03-07,3.98,26.54,1,North America
INV-00024,CUS-0003,ADV-0008,Manulife Small Cap Canada,Equity,1987113.04,1453612.33,2020-08-03,2026-03-11,11.77,-7.73,1,Asia Pacific
INV-00025,CUS-0138,ADV-0010,Manulife Canadian Equity,Equity,1378041.29,1834251.57,2025-03-28,2026-03-05,8.87,10.63,2,Global
INV-00026,CUS-0070,ADV-0030,Manulife Tech Innovation,Equity,279837.83,305172.58,2025-03-09,2026-03-10,-0.53,8.52,4,Global
INV-00027,CUS-0164,ADV-0012,Manulife Real Estate Fund,Real Estate,249134.75,198230.0,2023-09-30,2026-04-19,1.69,-10.37,4,Europe
INV-00028,CUS-0024,ADV-0030,Manulife High Yield Bond,Bond,595987.21,371905.41,2024-04-18,2026-03-16,12.38,14.63,4,Europe
INV-00029,CUS-0178,ADV-0007,Manulife Global Equity,Equity,1943671.59,3196929.84,2020-06-02,2026-04-01,3.98,11.68,2,Europe
INV-00030,CUS-0152,ADV-0016,Manulife Dividend Income,Equity,1717625.37,4078390.35,2022-11-18,2026-04-11,3.96,-3.35,2,North America
INV-00031,CUS-0034,ADV-0007,Manulife Global Bond,Bond,730469.35,1000982.48,2025-02-20,2026-03-05,0.99,-13.81,2,Europe
INV-00032,CUS-0176,ADV-0004,Manulife Balanced Growth,Balanced,1740313.6,1829317.49,2025-05-02,2026-04-17,0.81,1.56,2,North America
INV-00033,CUS-0118,ADV-0003,Manulife Tech Innovation,Equity,62029.57,62248.26,2021-06-30,2026-03-23,-3.97,4.32,3,Europe
INV-00034,CUS-0102,ADV-0004,Manulife Dividend Income,Equity,1018314.01,3214355.11,2022-06-01,2026-03-04,9.53,10.14,3,Global
INV-00035,CUS-0050,ADV-0024,Manulife Balanced Growth,Balanced,808370.75,609415.68,2021-01-22,2026-03-04,-1.97,-5.78,3,North America
INV-00036,CUS-0057,ADV-0020,Manulife Emerging Markets,Equity,1790641.63,2765513.78,2020-04-18,2026-03-07,-1.76,2.96,2,Global
INV-00037,CUS-0101,ADV-0007,Manulife Money Market,Money Market,443677.15,1003168.42,2020-07-26,2026-03-23,-7.47,-0.35,3,Asia Pacific
INV-00038,CUS-0188,ADV-0026,Manulife Canadian Equity,Equity,374232.26,560112.3,2020-07-12,2026-03-20,12.84,-2.17,4,Europe
INV-00039,CUS-0044,ADV-0017,Manulife Conservative Balanced,Balanced,143561.99,211721.8,2023-10-27,2026-03-28,19.35,8.21,3,Europe
INV-00040,CUS-0068,ADV-0017,Manulife Global Equity,Equity,1360009.87,2104532.74,2020-12-15,2026-04-07,9.98,-5.85,1,Europe
INV-00041,CUS-0121,ADV-0006,Manulife Emerging Markets,Equity,1638758.25,491627.475,2020-04-02,2026-04-18,-6.5,14.48,2,North America
INV-00042,CUS-0026,ADV-0020,Manulife Balanced Growth,Balanced,1473691.99,1328381.38,2024-07-04,2026-03-17,-8.96,12.74,4,Asia Pacific
INV-00043,CUS-0094,ADV-0030,Manulife Real Estate Fund,Real Estate,1656360.21,2046142.8,2020-01-28,2026-04-23,10.34,-10.61,3,North America
INV-00044,CUS-0070,ADV-0008,Manulife Dividend Income,Equity,1281401.62,1429158.5,2024-01-31,2026-04-12,8.42,16.88,5,Asia Pacific
INV-00045,CUS-0128,ADV-0014,Manulife Canadian Equity,Equity,1157280.49,1323053.87,2021-05-15,2026-04-10,-4.5,8.41,2,Asia Pacific
INV-00046,CUS-0161,ADV-0006,Manulife International Equity,Equity,1825218.95,2107736.54,2025-01-15,2026-03-17,19.8,5.05,5,Asia Pacific
INV-00047,CUS-0085,ADV-0012,Manulife Money Market,Money Market,837502.1,1354191.67,2023-04-21,2026-04-23,3.24,21.06,3,Global
INV-00048,CUS-0117,ADV-0001,Manulife Strategic Bond,Bond,1586088.5,1735460.11,2025-06-05,2026-04-01,1.29,11.75,5,Europe
INV-00049,CUS-0120,ADV-0028,Manulife Small Cap Canada,Equity,1933509.58,1589607.75,2022-12-07,2026-03-19,-4.79,3.73,1,North America
INV-00050,CUS-0056,ADV-0015,Manulife Balanced Growth,Balanced,1188177.88,1533026.56,2024-08-17,2026-03-23,9.96,10.36,4,North America
INV-00051,CUS-0013,ADV-0005,Manulife High Yield Bond,Bond,703685.38,788304.2,2020-10-09,2026-03-06,18.99,-3.42,4,Europe
INV-00052,CUS-0188,ADV-0017,Manulife Canadian Bond,Bond,1172523.55,754913.86,2022-06-03,2026-03-23,8.42,11.1,2,Global
INV-00053,CUS-0109,ADV-0015,Manulife Money Market,Money Market,1808804.84,2254939.71,2025-06-03,2026-04-13,-7.7,0.93,4,Europe
INV-00054,CUS-0175,ADV-0003,Manulife Canadian Bond,Bond,275703.05,315135.35,2021-05-27,2026-03-20,-2.88,3.6,3,Global
INV-00055,CUS-0140,ADV-0019,Manulife Tech Innovation,Equity,1565899.44,2312267.46,2022-02-08,2026-04-13,0.39,-11.21,4,Global
INV-00056,CUS-0091,ADV-0020,Manulife T-Bill Fund,Money Market,843908.8,973151.37,2022-08-13,2026-03-02,1.9,8.52,5,Global
INV-00057,CUS-0023,ADV-0021,Manulife Small Cap Canada,Equity,1814163.32,2421407.51,2023-06-13,2026-03-19,-6.76,-4.68,1,Global
INV-00058,CUS-0033,ADV-0016,Manulife Money Market,Money Market,16875.93,26293.64,2023-10-04,2026-04-23,9.26,-15.89,1,North America
INV-00059,CUS-0070,ADV-0004,Manulife Emerging Markets,Equity,1190707.67,2112097.47,2021-11-13,2026-04-17,-5.79,-1.75,3,North America
INV-00060,CUS-0180,ADV-0008,Manulife Canadian Bond,Bond,292583.04,165676.66,2022-11-23,2026-04-13,2.94,-7.01,3,Europe
INV-00061,CUS-0078,ADV-0001,Manulife Balanced Growth,Balanced,1978371.47,3044889.15,2024-01-12,2026-03-10,3.87,4.74,3,North America
INV-00062,CUS-0134,ADV-0016,Manulife Emerging Markets,Equity,412565.84,444460.7,2021-05-21,2026-03-26,-11.42,10.73,1,North America
INV-00063,CUS-0077,ADV-0024,Manulife Money Market,Money Market,1965479.05,3442676.03,2022-09-17,2026-03-29,-10.39,-14.33,4,North America
INV-00064,CUS-0111,ADV-0008,Manulife Small Cap Canada,Equity,48207.47,48941.99,2023-07-26,2026-03-11,11.82,22.41,3,Europe
INV-00065,CUS-0122,ADV-0014,Manulife Global REIT,Real Estate,582450.82,1365825.11,2021-08-16,2026-04-14,9.77,0.53,4,Global
INV-00066,CUS-0107,ADV-0001,Manulife T-Bill Fund,Money Market,60801.46,125451.67,2020-10-30,2026-04-07,-6.44,11.12,3,Global
INV-00067,CUS-0011,ADV-0019,Manulife Moderate Balanced,Balanced,282910.53,326140.16,2025-05-25,2026-04-24,-2.47,14.03,4,Europe
INV-00068,CUS-0090,ADV-0023,Manulife Dividend Income,Equity,1028525.08,1380734.41,2022-03-10,2026-04-16,5.59,13.12,3,Global
INV-00069,CUS-0184,ADV-0017,Manulife Small Cap Canada,Equity,1570997.07,1068062.34,2021-07-24,2026-03-25,-11.72,27.87,5,Europe
INV-00070,CUS-0148,ADV-0021,Manulife Dividend Income,Equity,1319515.68,1781888.62,2024-05-07,2026-04-07,2.78,25.53,3,Global
INV-00071,CUS-0018,ADV-0017,Manulife US Equity Growth,Equity,1704802.21,3007148.88,2020-03-01,2026-03-21,6.53,28.99,4,Europe
INV-00072,CUS-0027,ADV-0003,Manulife Tech Innovation,Equity,1785483.34,2900806.86,2024-01-31,2026-03-04,3.8,-5.52,3,North America
INV-00073,CUS-0010,ADV-0025,Manulife Global Equity,Equity,1527887.14,975598.52,2022-06-23,2026-03-29,-6.01,16.37,3,Europe
INV-00074,CUS-0051,ADV-0006,Manulife High Yield Bond,Bond,877842.13,945874.35,2022-10-02,2026-03-28,2.29,14.84,4,Europe
INV-00075,CUS-0023,ADV-0013,Manulife Strategic Bond,Bond,1260085.75,1508129.44,2020-02-19,2026-04-19,-1.21,16.35,3,North America
INV-00076,CUS-0088,ADV-0017,Manulife Tech Innovation,Equity,1461304.35,930523.34,2023-10-29,2026-03-13,13.22,-2.13,4,Global
INV-00077,CUS-0129,ADV-0014,Manulife Moderate Balanced,Balanced,1238865.33,1287832.84,2021-12-31,2026-03-05,1.93,18.56,3,Europe
INV-00078,CUS-0133,ADV-0012,Manulife Balanced Growth,Balanced,240265.35,465347.35,2020-07-25,2026-03-02,4.82,23.16,2,Asia Pacific
INV-00079,CUS-0065,ADV-0008,Manulife Money Market,Money Market,719020.86,938259.25,2023-12-11,2026-04-24,0.13,3.48,3,Asia Pacific
INV-00080,CUS-0103,ADV-0009,Manulife Target Date 2035,Balanced,1094153.53,3500660.51,2020-04-26,2026-04-11,11.73,-2.97,1,Asia Pacific
INV-00081,CUS-0108,ADV-0027,Manulife High Yield Bond,Bond,672409.78,983657.85,2021-02-14,2026-04-12,-0.86,-11.68,5,North America
INV-00082,CUS-0061,ADV-0029,Manulife Global REIT,Real Estate,1612295.84,1740747.38,2020-05-29,2026-04-18,-6.61,0.57,4,Asia Pacific
INV-00083,CUS-0019,ADV-0026,Manulife T-Bill Fund,Money Market,1479882.34,3189560.09,2023-05-10,2026-03-03,-3.68,0.74,2,Global
INV-00084,CUS-0130,ADV-0008,Manulife Global Bond,Bond,703764.08,860684.35,2023-08-24,2026-03-02,-10.32,9.94,5,North America
INV-00085,CUS-0199,ADV-0014,Manulife Canadian Bond,Bond,1218237.1,984512.72,2022-12-30,2026-04-19,11.84,20.68,3,Europe
INV-00086,CUS-0111,ADV-0013,Manulife T-Bill Fund,Money Market,279852.01,364913.48,2023-01-30,2026-03-23,-12.28,16.73,2,Global
